ts_ms,tick,event_type,event_code,fsm_state,proto_id,alarms_mask,temp_C,moist_pct,press_kPa,vib,heater_en,fan_pwm,valve,fifo_occ_after_push
0,0,PERIODIC,0x00,IDLE,0,0x0000,3.48,6.83,12.60,0.27,0,30,0,1
100,1,PERIODIC,0x00,IDLE,0,0x0000,6.98,13.37,25.36,0.55,0,30,0,1
200,2,PERIODIC,0x00,IDLE,0,0x0000,10.50,19.91,38.12,0.85,0,30,0,1
300,3,PERIODIC,0x00,IDLE,0,0x0000,14.00,26.35,50.88,1.14,0,30,0,1
400,4,PERIODIC,0x00,RAMP,0,0x0000,17.49,32.80,63.67,1.44,0,30,0,1
500,5,PERIODIC,0x00,RAMP,0,0x0000,20.98,39.28,76.45,1.73,1,160,0,1
600,6,PERIODIC,0x00,RAMP,0,0x0000,26.36,43.57,89.86,2.16,1,160,0,1
700,7,PERIODIC,0x00,RAMP,0,0x0000,31.71,47.90,103.27,2.59,1,160,0,1
800,8,PERIODIC,0x00,RAMP,0,0x0000,33.64,45.35,104.08,2.75,1,160,0,1
900,9,PERIODIC,0x00,RAMP,0,0x0000,35.54,43.11,104.73,2.89,1,160,0,1
1000,10,PERIODIC,0x00,RAMP,0,0x0000,37.43,40.89,105.39,3.03,1,160,0,1
1100,11,PERIODIC,0x00,RAMP,0,0x0000,39.31,38.73,106.03,3.16,1,160,0,1
1200,12,PERIODIC,0x00,RAMP,0,0x0000,41.24,36.54,106.65,3.29,1,160,0,1
1300,13,PERIODIC,0x00,RAMP,0,0x0000,43.14,34.33,107.27,3.42,1,160,0,2
1400,14,PERIODIC,0x00,RAMP,0,0x0000,43.15,34.27,107.27,3.42,1,160,0,2
1500,15,PERIODIC,0x00,RAMP,0,0x0000,43.17,34.27,107.25,3.41,1,160,0,2
1600,16,PERIODIC,0x00,RAMP,0,0x0000,43.16,34.23,107.25,3.41,1,160,0,2
1700,17,PERIODIC,0x00,RAMP,0,0x0000,43.13,34.27,107.26,3.41,1,160,0,2
1800,18,PERIODIC,0x00,RAMP,0,0x0000,43.14,34.25,107.23,3.40,1,160,0,2
1900,19,PERIODIC,0x00,RAMP,0,0x0000,43.16,34.27,107.25,3.40,1,160,0,2
2000,20,PERIODIC,0x00,RAMP,0,0x0000,43.17,34.29,107.25,3.39,1,160,0,3
2100,21,PERIODIC,0x00,RAMP,0,0x0000,43.19,34.30,107.30,3.39,1,160,0,3
2200,22,PERIODIC,0x00,RAMP,0,0x0000,43.20,34.36,107.29,3.40,1,160,0,3
2300,23,PERIODIC,0x00,RAMP,0,0x0000,43.20,34.38,107.30,3.40,1,160,0,3
2400,24,PERIODIC,0x00,STEADY,0,0x0000,43.22,34.40,107.29,3.40,1,160,0,3
2500,25,PERIODIC,0x00,STEADY,0,0x0000,43.21,34.38,107.29,3.42,1,200,1,3
2600,26,PERIODIC,0x00,STEADY,0,0x0000,43.47,32.62,108.01,3.54,1,200,1,3
2700,27,PERIODIC,0x00,STEADY,0,0x0000,43.72,30.92,108.71,3.64,1,200,1,3
2800,28,PERIODIC,0x00,STEADY,0,0x0000,43.96,29.22,109.42,3.74,1,200,1,3
2900,29,PERIODIC,0x00,STEADY,0,0x0000,44.23,27.50,110.09,3.85,1,200,1,3
3000,30,PERIODIC,0x00,STEADY,0,0x0000,44.49,25.74,110.80,3.95,1,200,1,3
3100,31,PERIODIC,0x00,STEADY,0,0x0000,44.76,23.97,111.49,4.07,1,200,0,3
3200,32,PERIODIC,0x00,STEADY,0,0x0000,45.02,23.49,111.71,4.11,1,200,0,3
3300,33,PERIODIC,0x00,STEADY,0,0x0000,45.33,23.03,111.92,4.14,1,200,0,3
3400,34,PERIODIC,0x00,STEADY,0,0x0000,45.32,24.25,111.42,4.08,1,200,0,3
3500,35,PERIODIC,0x00,STEADY,0,0x0000,45.32,25.48,110.88,4.02,1,200,1,3
3600,36,PERIODIC,0x00,STEADY,0,0x0000,45.31,25.46,110.88,4.02,1,200,1,4
3700,37,PERIODIC,0x00,STEADY,0,0x0000,45.32,25.48,110.89,4.02,1,200,1,5
3800,38,PERIODIC,0x00,STEADY,0,0x0000,45.32,25.58,110.88,4.02,1,200,1,5
3900,39,PERIODIC,0x00,STEADY,0,0x0000,45.35,25.64,110.88,4.02,1,200,1,5
4000,40,PERIODIC,0x00,STEADY,0,0x0000,45.35,24.45,111.38,4.07,1,200,0,5
4100,41,PERIODIC,0x00,STEADY,0,0x0000,45.32,24.41,111.37,4.09,1,200,0,5
4200,42,PERIODIC,0x00,STEADY,0,0x0000,45.33,24.41,111.38,4.08,1,200,0,5
4300,43,PERIODIC,0x00,STEADY,0,0x0000,45.35,24.37,111.41,4.09,1,200,0,5
4400,44,PERIODIC,0x00,STEADY,0,0x0000,45.37,25.70,110.89,4.02,1,200,1,5
4500,45,PERIODIC,0x00,STEADY,0,0x0000,45.39,25.70,110.91,4.03,1,200,1,5
4600,46,PERIODIC,0x00,STEADY,0,0x0000,45.39,25.57,110.93,4.03,1,200,1,5
4700,47,PERIODIC,0x00,STEADY,0,0x0000,45.40,25.49,110.94,4.04,1,200,1,5
4800,48,PERIODIC,0x00,STEADY,0,0x0000,45.39,25.48,110.94,4.02,1,200,1,5
4900,49,PERIODIC,0x00,STEADY,0,0x0000,45.41,24.19,111.46,4.08,1,200,0,5
5000,50,PERIODIC,0x00,STEADY,1,0x0000,45.41,24.19,111.45,4.07,1,200,0,6
5100,51,PERIODIC,0x00,STEADY,1,0x0000,45.41,24.23,111.45,4.07,1,200,0,7
5200,52,PERIODIC,0x00,STEADY,1,0x0000,45.39,24.12,111.46,4.07,1,200,0,7
5300,53,PERIODIC,0x00,STEADY,1,0x0000,45.39,25.41,110.94,4.00,1,200,1,8
