ts_s,temp_C_raw,temp_C_filt,moist_pct_raw,moist_pct_filt,press_kPa_raw,press_kPa_filt,vib_raw,vib_filt,fsm_state,heater_en,fan_pwm,valve,alarms_mask,fifo_occ
0.0,27.83203125,3.4765625,54.6640625,6.83203125,100.78125,12.59765625,2.1328125,0.265625,0,0,30,0,0x0000,1
0.1,28.06640625,6.984375,52.3203125,13.37109375,102.08203125,25.35546875,2.30859375,0.5546875,0,0,30,0,0x0000,1
0.2,28.1328125,10.50390625,52.30078125,19.91015625,102.08203125,38.1171875,2.34765625,0.84765625,0,0,30,0,0x0000,1
0.3,27.9765625,14.0,51.52734375,26.3515625,102.1171875,50.8828125,2.359375,1.140625,0,0,30,0,0x0000,1
0.4,27.94921875,17.4921875,51.625,32.8046875,102.3203125,63.671875,2.3828125,1.44140625,1,0,30,0,0x0000,1
0.5,27.9140625,20.98046875,51.8203125,39.28125,102.25,76.453125,2.3515625,1.734375,1,1,160,0,0x0000,1
0.6,42.98828125,26.35546875,34.33984375,43.57421875,107.234375,89.85546875,3.44140625,2.1640625,1,1,160,0,0x0000,1
0.7,42.86328125,31.71484375,34.61328125,47.8984375,107.328125,103.2734375,3.4296875,2.59375,1,1,160,0,0x0000,1
0.8,43.25,33.640625,34.24609375,45.34765625,107.21875,104.078125,3.421875,2.75390625,1,1,160,0,0x0000,1
0.9,43.23828125,35.5390625,34.43359375,43.11328125,107.296875,104.73046875,3.41796875,2.890625,1,1,160,0,0x0000,1
1.0,43.2421875,37.42578125,34.50390625,40.88671875,107.33984375,105.38671875,3.4140625,3.02734375,1,1,160,0,0x0000,1
1.1,43.07421875,39.3125,34.28125,38.73046875,107.234375,106.02734375,3.41796875,3.15625,1,1,160,0,0x0000,1
1.2,43.3671875,41.2421875,34.0546875,36.53515625,107.28515625,106.6484375,3.4375,3.2890625,1,1,160,0,0x0000,1
1.3,43.0703125,43.13671875,34.1953125,34.33203125,107.1875,107.265625,3.40234375,3.421875,1,1,160,0,0x0000,2
1.4,43.12109375,43.15234375,33.85546875,34.26953125,107.265625,107.26953125,3.43359375,3.421875,1,1,160,0,0x0000,2
1.5,43.0234375,43.171875,34.5546875,34.265625,107.1796875,107.25,3.375,3.4140625,1,1,160,0,0x0000,2
1.6,43.140625,43.15625,33.97265625,34.23046875,107.26953125,107.25390625,3.41796875,3.4140625,1,1,160,0,0x0000,2
1.7,43.0390625,43.1328125,34.76171875,34.26953125,107.31640625,107.2578125,3.37109375,3.40625,1,1,160,0,0x0000,2
1.8,43.34765625,43.14453125,34.3671875,34.25390625,107.14453125,107.234375,3.34765625,3.3984375,1,1,160,0,0x0000,2
1.9,43.1953125,43.16015625,34.43359375,34.2734375,107.37890625,107.25,3.41015625,3.3984375,1,1,160,0,0x0000,2
2.0,43.4609375,43.171875,34.1875,34.2890625,107.26171875,107.25,3.40234375,3.39453125,1,1,160,0,0x0000,3
2.1,43.19140625,43.1875,34.3203125,34.3046875,107.56640625,107.296875,3.41015625,3.39453125,1,1,160,0,0x0000,3
2.2,43.234375,43.203125,34.2578125,34.35546875,107.25390625,107.29296875,3.46484375,3.3984375,1,1,160,0,0x0000,3
2.3,43.03515625,43.203125,34.7109375,34.375,107.2421875,107.30078125,3.3984375,3.40234375,1,1,160,0,0x0000,3
2.4,43.24609375,43.21875,34.16015625,34.3984375,107.19140625,107.29296875,3.4375,3.40234375,2,1,160,0,0x0000,3
2.5,42.96484375,43.20703125,34.62109375,34.37890625,107.265625,107.28515625,3.5234375,3.421875,2,1,200,1,0x0000,3
2.6,45.42578125,43.46875,20.2890625,32.62109375,112.9140625,108.0078125,4.296875,3.54296875,2,1,200,1,0x0000,3
2.7,45.2421875,43.72265625,20.796875,30.91796875,113.01953125,108.7109375,4.2109375,3.640625,2,1,200,1,0x0000,3
2.8,45.35546875,43.9609375,20.63671875,29.22265625,112.94140625,109.421875,4.21875,3.7421875,2,1,200,1,0x0000,3
2.9,45.3125,44.2265625,20.53125,27.5,112.91015625,110.08984375,4.28515625,3.8515625,2,1,200,1,0x0000,3
3.0,45.35546875,44.4921875,20.203125,25.7421875,112.953125,110.8046875,4.27734375,3.953125,2,1,200,1,0x0000,3
3.1,45.1796875,44.7578125,20.56640625,23.97265625,112.76953125,111.4921875,4.28125,4.06640625,2,1,200,0,0x0000,3
3.2,45.37890625,45.0234375,30.28125,23.48828125,108.96484375,111.71484375,3.83984375,4.11328125,2,1,200,0,0x0000,3
3.3,45.39453125,45.328125,30.96484375,23.03125,108.87109375,111.91796875,3.6953125,4.13671875,2,1,200,0,0x0000,3
3.4,45.32421875,45.31640625,30.04296875,24.25,108.9296875,111.41796875,3.828125,4.078125,2,1,200,0,0x0000,3
3.5,45.26171875,45.3203125,30.65234375,25.484375,108.72265625,110.8828125,3.69921875,4.015625,2,1,200,1,0x0000,3
3.6,45.26171875,45.30859375,20.4140625,25.45703125,112.9375,110.87890625,4.30078125,4.0234375,2,1,200,1,0x0000,4
3.7,45.3828125,45.31640625,20.7578125,25.484375,112.9609375,110.88671875,4.26953125,4.0234375,2,1,200,1,0x0000,5
3.8,45.41015625,45.32421875,20.98046875,25.58203125,112.8828125,110.87890625,4.2734375,4.0234375,2,1,200,1,0x0000,5
3.9,45.37109375,45.34765625,21.04296875,25.640625,112.8125,110.8828125,4.2265625,4.015625,2,1,200,1,0x0000,5
4.0,45.39453125,45.34765625,20.73046875,24.4453125,112.890625,111.375,4.31640625,4.07421875,2,1,200,0,0x0000,5
