tick,ts_ms,temp_raw_q88,moist_raw_q88,press_raw_q88,vib_raw_q88,temp_filt_q88,moist_filt_q88,press_filt_q88,vib_filt_q88,fsm_state,heater_en,fan_pwm,valve,alarms_mask,alarm_edge,event_code,fifo_occ,fifo_drops,proto_id,valid,ready,fire,bytes_sent,frame_inflight
0,0,7125,13994,25800,546,890,1749,3225,68,0,0,30,0,0,0,0,1,0,0,1,1,1,40,0
1,100,7185,13394,26133,591,1788,3423,6491,142,0,0,30,0,0,0,0,1,0,0,1,1,1,40,0
2,200,7202,13389,26133,601,2689,5097,9758,217,0,0,30,0,0,0,0,1,0,0,1,1,1,40,0
3,300,7162,13191,26142,604,3584,6746,13026,292,0,0,30,0,0,0,0,1,0,0,1,1,1,40,0
4,400,7155,13216,26194,610,4478,8398,16300,369,1,0,30,0,0,0,0,1,0,0,1,1,1,40,0
5,500,7146,13266,26176,602,5371,10056,19572,444,1,1,160,0,0,0,0,1,0,0,1,1,1,40,0
6,600,11005,8791,27452,881,6747,11155,23003,554,1,1,160,0,0,0,0,1,0,0,1,1,1,40,0
7,700,10973,8861,27476,878,8119,12262,26438,664,1,1,160,0,0,0,0,1,0,0,1,1,1,40,0
8,800,11072,8767,27448,876,8612,11609,26644,705,1,1,160,0,0,0,0,1,0,0,1,1,1,40,0
9,900,11069,8815,27468,875,9098,11037,26811,740,1,1,160,0,0,0,0,1,0,0,1,1,1,40,0
10,1000,11070,8833,27479,874,9581,10467,26979,775,1,1,160,0,0,0,0,1,0,0,1,1,1,40,0
11,1100,11027,8776,27452,875,10064,9915,27143,808,1,1,160,0,0,0,0,1,0,0,1,1,1,40,0
12,1200,11102,8718,27465,880,10558,9353,27302,842,1,1,160,0,0,0,0,1,0,0,1,0,0,0,0
13,1300,11026,8754,27440,871,11043,8789,27460,876,1,1,160,0,0,0,0,2,0,0,1,1,1,40,0
14,1400,11039,8667,27460,879,11047,8773,27461,876,1,1,160,0,0,0,0,2,0,0,1,1,1,40,0
15,1500,11014,8846,27438,864,11052,8772,27456,874,1,1,160,0,0,0,0,2,0,0,1,1,1,40,0
16,1600,11044,8697,27461,875,11048,8763,27457,874,1,1,160,0,0,0,0,2,0,0,1,1,1,40,0
17,1700,11018,8899,27473,863,11042,8773,27458,872,1,1,160,0,0,0,0,2,0,0,1,1,1,40,0
18,1800,11097,8798,27429,857,11045,8769,27452,870,1,1,160,0,0,0,0,2,0,0,1,1,1,40,0
19,1900,11058,8815,27489,873,11049,8774,27456,870,1,1,160,0,0,0,0,2,0,0,1,0,0,0,0
20,2000,11126,8752,27459,871,11052,8778,27456,869,1,1,160,0,0,0,0,3,0,0,1,1,1,40,0
21,2100,11057,8786,27537,873,11056,8782,27468,869,1,1,160,0,0,0,0,3,0,0,1,1,1,40,0
22,2200,11068,8770,27457,887,11060,8795,27467,870,1,1,160,0,0,0,0,3,0,0,1,1,1,40,0
23,2300,11017,8886,27454,870,11060,8800,27469,871,1,1,160,0,0,0,0,3,0,0,1,1,1,40,0
24,2400,11071,8745,27441,880,11064,8806,27467,871,2,1,160,0,0,0,0,3,0,0,1,1,1,40,0
25,2500,10999,8863,27460,902,11061,8801,27465,876,2,1,200,1,0,0,0,3,0,0,1,1,1,40,0
